rank	score	review_class	file	index	id	title	answer	question	detail	priority_reason	review_note	explanation
1	30	NORMAL_REVIEW	data/lessons/python_file_data_processing_v19.json	4	PY19_L07_write_jsonl_001	JSONL 저장 루프 읽기	한글 같은 비ASCII 문자를 읽기 좋게 저장하려고	ensure_ascii=False를 쓰는 이유에 가장 가까운 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	ensure_ascii=False면 한글이 유니코드 escape가 아니라 실제 글자로 저장된다. JSONL 저장 루프는 객체 하나를 JSON 한 줄로 바꾸어 반복 저장하는 구조다. 줄마다 독립적으로 읽을 수 있어 대량 데이터 처리에 유리하다.
2	30	NORMAL_REVIEW	data/lessons/python_file_data_processing_v19.json	6	PY19_L08_path_join_mkdir_001	Path 결합과 폴더 생성 읽기	중간 폴더가 없어도 함께 만든다	parents=True의 의미는?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	parents=True는 derived/clean처럼 중간 폴더까지 생성하게 한다. Path 결합은 운영체제에 맞는 경로를 만들고, mkdir은 필요한 폴더를 생성한다. 코드를 읽을 때는 부모 폴더 생성 옵션과 이미 존재할 때 처리 방식을 봐야 한다.
3	30	NORMAL_REVIEW	data/lessons/python_files_paths_project_structure_v32.json	8	PY32_L09_read_write_utf8_001	UTF-8 읽기/쓰기	한글과 특수문자 깨짐을 줄이기 위해	-Encoding UTF8을 붙이는 이유는?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	read/write UTF-8은 파일을 읽고 쓸 때 인코딩을 명시하는 습관이다. 시스템 기본값 차이로 생기는 한글 깨짐을 줄이는 데 중요하다. 파일을 저장할 때도 같은 인코딩을 쓰면 다른 PC나 서버에서 다시 읽을 때 깨짐 가능성이 줄어든다.
4	30	NORMAL_REVIEW	data/lessons/python_files_paths_project_structure_v32.json	12	PY32_L10_project_structure_001	scripts/data/src 구조 읽기	학습 카드 JSON 데이터를 보관한다	data/lessons 폴더의 역할로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	src는 앱 코드, data는 데이터, scripts는 자동화 스크립트로 나누면 찾기 쉽다. scripts/data/src 구조는 실행 도구, 데이터 파일, 앱 코드를 역할별로 나누는 방식이다. 파일이 어디에 있어야 하는지 기준이 생겨 유지보수가 쉬워진다.
5	30	NORMAL_REVIEW	data/lessons/python_files_paths_project_structure_v32.json	13	PY32_L10_config_location_001	config 파일 위치 읽기	코드를 덜 고치고 설정만 바꿀 수 있다	config를 따로 두는 장점은?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	config location은 설정 파일을 어디에 둘지 정하는 문제다. 설정값을 코드와 분리하면 환경별 변경이 쉬워지고 코드 수정 위험도 줄어든다. 환경 변수, JSON, .env처럼 설정 위치를 정하면 비밀값과 일반 설정도 구분해 관리할 수 있다.
6	30	NORMAL_REVIEW	data/lessons/python_frontend_state_storage_cache_v39.json	4	PY39_L07_sessionstorage_001	sessionStorage 읽기	탭/세션이 끝나면 사라질 수 있다	sessionStorage가 localStorage와 다른 점으로 가까운 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	sessionStorage는 임시 필터처럼 오래 보관할 필요가 적은 값에 적합하다. sessionStorage는 브라우저 탭이 살아 있는 동안만 값을 저장하는 저장소다. localStorage와 달리 탭을 닫으면 사라질 수 있으므로 임시 상태 저장에 적합하다.
7	30	NORMAL_REVIEW	data/lessons/python_frontend_state_storage_cache_v39.json	6	PY39_L08_stale_data_001	stale data 읽기	브라우저가 오래된 캐시를 보고 있다	이 상황은 무엇에 가까운가?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	서버 파일은 새 버전인데 브라우저가 이전 파일을 들고 있으면 stale data가 된다. stale data는 화면이나 캐시에 남은 데이터가 최신 상태와 달라진 경우다. 새로고침, 재요청, 버전 키 변경이 필요한지 확인해야 한다.
8	30	NORMAL_REVIEW	data/lessons/python_frontend_state_storage_cache_v39.json	9	PY39_L09_offline_mode_001	offline mode 읽기	캐시된 lessons를 불러온다	offline일 때 자연스러운 동작은?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	offline mode는 네트워크가 끊겨도 캐시에 저장된 파일로 최소 기능을 제공하는 방식이다. PWA에서는 앱 뼈대와 핵심 데이터를 캐시에 두는 것이 중요하다.
9	30	NORMAL_REVIEW	data/lessons/python_frontend_state_storage_cache_v39.json	12	PY39_L10_debounce_001	debounce 읽기	키를 누를 때마다 API를 과도하게 호출하지 않기 위해	debounce를 검색창에 쓰는 이유는?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	사용자가 입력을 멈춘 뒤 검색하면 API 호출 수와 렌더링 부담을 줄일 수 있다. debounce는 입력이 너무 자주 발생할 때 마지막 입력 뒤 일정 시간 후에만 실행하도록 늦추는 방식이다. 검색창 입력이나 버튼 반복 클릭 처리에서 호출 횟수를 줄이는 데 쓰인다.
10	30	NORMAL_REVIEW	data/lessons/python_function_design_io_v30.json	7	PY30_L09_side_effect_001	side effect 읽기	localStorage에 값을 저장한다	이 함수의 side effect는?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	side effect는 함수가 외부 상태를 바꾸는 작업이다. 파일 저장, 화면 변경, 네트워크 요청, 외부 저장소 수정은 모두 side effect에 해당한다. side effect가 많을수록 테스트와 디버깅이 어려워지므로 핵심 계산과 분리하는 편이 좋다.
11	30	NORMAL_REVIEW	data/lessons/python_function_design_io_v30.json	13	PY30_L10_function_name_001	함수명으로 의도 읽기	card를 화면에 표시할 형태로 만든다	renderCard(card)가 할 일로 가장 자연스러운 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	render는 UI 표시, load는 불러오기, save는 저장, filter는 걸러내기라는 이름 관례가 있다. 함수명은 코드가 무엇을 하려는지 알려 주는 첫 힌트다. 동사와 목적어를 보고 입력을 어떻게 처리해 어떤 결과를 돌려줄지 추론할 수 있다.
12	30	NORMAL_REVIEW	data/lessons/python_git_github_workflow_v33.json	4	PY33_L07_git_commit_001	git commit 읽기	이번 변경의 목적을 짧게 기록한다	commit message의 역할은?	해설에서 정답 표현을 직접 찾기 어렵다.	코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	git commit은 준비된 변경을 하나의 기록으로 저장하는 명령이다. 커밋 메시지는 나중에 변경 이력을 읽을 때 무엇을 했는지 알려준다. 좋은 커밋 메시지는 변경 이유와 범위를 짧게 남겨 나중에 로그만 봐도 흐름을 복원하게 해 준다.
