rank	file	index	id	title	answer	final_sentence	changed	old_explanation	new_explanation
1	data/lessons/python_deep_expansion_v4.json	27	PY4_L10_edge_promotion_001	엣지 승격 조건 읽기	score 0.8 이상이고 evidence_count 2 이상	따라서 반환/호출 결과는 ‘score 0.8 이상이고 evidence_count 2 이상’이다.	YES	edge promotion은 후보 관계를 실제 KG edge로 승격할지 판단하는 단계다. 두 조건을 모두 만족해야 promoted 상태가 된다. 근거 수와 신뢰도 같은 조건을 함께 보아야 약한 후보 관계가 실제 그래프에 섞이는 것을 줄일 수 있다.	edge promotion은 후보 관계를 실제 KG edge로 승격할지 판단하는 단계다. 두 조건을 모두 만족해야 promoted 상태가 된다. 근거 수와 신뢰도 같은 조건을 함께 보아야 약한 후보 관계가 실제 그래프에 섞이는 것을 줄일 수 있다. 따라서 반환/호출 결과는 ‘score 0.8 이상이고 evidence_count 2 이상’이다.
2	data/lessons/python_deploy_pwa_cache_storage_v23.json	6	PY23_L09_fetch_json_fail_001	JSON fetch 실패 처리 읽기	Error를 던지고 JSON 파싱으로 넘어가지 않는다	따라서 반환/호출 결과는 ‘Error를 던지고 JSON 파싱으로 넘어가지 않는다’이다.	YES	HTTP 404/500 같은 실패 응답을 그냥 JSON으로 파싱하려고 하면 원인 파악이 어려워질 수 있다. JSON fetch 실패는 파일 경로, 서버 응답, JSON 문법 문제 중 하나일 수 있다. Network 탭의 status code와 Console 오류를 같이 봐야 한다.	HTTP 404/500 같은 실패 응답을 그냥 JSON으로 파싱하려고 하면 원인 파악이 어려워질 수 있다. JSON fetch 실패는 파일 경로, 서버 응답, JSON 문법 문제 중 하나일 수 있다. Network 탭의 status code와 Console 오류를 같이 봐야 한다. 따라서 반환/호출 결과는 ‘Error를 던지고 JSON 파싱으로 넘어가지 않는다’이다.
3	data/lessons/python_fastapi_api_server_v20.json	5	PY20_L08_response_model_001	response_model 읽기	응답 형식을 SearchResponse 스키마에 맞춘다	따라서 반환/호출 결과는 ‘응답 형식을 SearchResponse 스키마에 맞춘다’이다.	YES	response_model은 API가 어떤 형태의 응답을 내보낼지 명확하게 만든다. response_model은 API 응답의 모양을 제한하고 문서화하는 역할을 한다. 실제 내부 데이터 중 어떤 필드만 사용자에게 내보내는지 확인할 수 있다.	response_model은 API가 어떤 형태의 응답을 내보낼지 명확하게 만든다. response_model은 API 응답의 모양을 제한하고 문서화하는 역할을 한다. 실제 내부 데이터 중 어떤 필드만 사용자에게 내보내는지 확인할 수 있다. 따라서 반환/호출 결과는 ‘응답 형식을 SearchResponse 스키마에 맞춘다’이다.
4	data/lessons/python_fastapi_api_server_v20.json	7	PY20_L09_status_code_001	HTTP status code 분기 읽기	클라이언트 요청이 잘못되었기 때문에	따라서 반환/호출 결과는 ‘클라이언트 요청이 잘못되었기 때문에’이다.	YES	400은 클라이언트가 잘못된 요청을 보냈을 때 주로 쓴다. 500은 서버 내부 오류에 가깝다. HTTP status code 분기는 요청 결과를 숫자 코드로 구분하는 방식이다. 200, 400, 401, 404, 500의 의미를 나누어 처리해야 한다.	400은 클라이언트가 잘못된 요청을 보냈을 때 주로 쓴다. 500은 서버 내부 오류에 가깝다. HTTP status code 분기는 요청 결과를 숫자 코드로 구분하는 방식이다. 200, 400, 401, 404, 500의 의미를 나누어 처리해야 한다. 따라서 반환/호출 결과는 ‘클라이언트 요청이 잘못되었기 때문에’이다.
5	data/lessons/python_fastapi_api_server_v20.json	10	PY20_L09_background_task_001	BackgroundTasks 읽기	save_log를 백그라운드 작업으로 등록한다	따라서 반환/호출 결과는 ‘save_log를 백그라운드 작업으로 등록한다’이다.	YES	background task는 응답을 먼저 보낸 뒤 뒤에서 처리할 일을 등록하는 방식이다. 로그 저장이나 알림처럼 오래 걸리지 않아도 되는 작업에 유용하다. 응답 시간을 짧게 유지하면서 부가 작업을 처리할 수 있어 사용자 경험이 좋아진다.	background task는 응답을 먼저 보낸 뒤 뒤에서 처리할 일을 등록하는 방식이다. 로그 저장이나 알림처럼 오래 걸리지 않아도 되는 작업에 유용하다. 응답 시간을 짧게 유지하면서 부가 작업을 처리할 수 있어 사용자 경험이 좋아진다. 따라서 반환/호출 결과는 ‘save_log를 백그라운드 작업으로 등록한다’이다.
6	data/lessons/python_fastapi_api_server_v20.json	15	PY20_L10_api_timeout_retry_001	API timeout/retry 흐름 읽기	ms 시간이 지나 timeout이 발생할 때	따라서 반환/호출 결과는 ‘ms 시간이 지나 timeout이 발생할 때’이다.	YES	API timeout은 요청이 너무 오래 걸릴 때 중단하는 장치다. setTimeout으로 abort를 호출하면 지정 시간 후 fetch를 멈출 수 있다. 중단 뒤에는 사용자에게 재시도 안내를 보여 주거나 안전하게 다시 요청하는 흐름이 필요하다.	API timeout은 요청이 너무 오래 걸릴 때 중단하는 장치다. setTimeout으로 abort를 호출하면 지정 시간 후 fetch를 멈출 수 있다. 중단 뒤에는 사용자에게 재시도 안내를 보여 주거나 안전하게 다시 요청하는 흐름이 필요하다. 따라서 반환/호출 결과는 ‘ms 시간이 지나 timeout이 발생할 때’이다.
7	data/lessons/python_file_cli_error_recovery_v128_a1.json	4	PY128_L05_VALUE_ERROR_INT_001	ValueError로 숫자 변환 실패 읽기	문자열을 int로 바꿀 수 없을 때	따라서 출력은 ‘문자열을 int로 바꿀 수 없을 때’이다.	YES	int('abc')처럼 숫자가 아닌 문자열을 정수로 바꾸려 하면 ValueError가 난다. CLI에서는 숫자 옵션을 받을 때 이런 실패를 고려해야 한다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다.	int('abc')처럼 숫자가 아닌 문자열을 정수로 바꾸려 하면 ValueError가 난다. CLI에서는 숫자 옵션을 받을 때 이런 실패를 고려해야 한다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다. 따라서 출력은 ‘문자열을 int로 바꿀 수 없을 때’이다.
8	data/lessons/python_file_cli_error_recovery_v128_a1.json	5	PY128_L06_TRY_EXCEPT_ELSE_FLOW_001	try except else 흐름 읽기	try 블록에서 오류가 나지 않았을 때	따라서 출력은 ‘try 블록에서 오류가 나지 않았을 때’이다.	YES	else는 try 블록이 성공했을 때만 실행된다. 오류 처리 코드와 정상 처리 코드를 나누고 싶을 때 try/except/else 흐름을 사용할 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다.	else는 try 블록이 성공했을 때만 실행된다. 오류 처리 코드와 정상 처리 코드를 나누고 싶을 때 try/except/else 흐름을 사용할 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다. 따라서 출력은 ‘try 블록에서 오류가 나지 않았을 때’이다.
9	data/lessons/python_file_data_processing_v19.json	2	PY19_L06_tsv_delimiter_001	TSV delimiter 읽기	탭 문자를 컬럼 구분자로 쓴다	따라서 출력은 ‘탭 문자를 컬럼 구분자로 쓴다’이다.	YES	TSV는 tab-separated values의 줄임말로, 값을 탭 문자로 구분한다. CSV와 비슷하지만 쉼표 대신 탭을 delimiter로 지정한다. 탭 구분자는 값 안에 쉼표가 들어가도 컬럼을 덜 헷갈리게 해 주는 장점이 있다.	TSV는 tab-separated values의 줄임말로, 값을 탭 문자로 구분한다. CSV와 비슷하지만 쉼표 대신 탭을 delimiter로 지정한다. 탭 구분자는 값 안에 쉼표가 들어가도 컬럼을 덜 헷갈리게 해 주는 장점이 있다. 따라서 출력은 ‘탭 문자를 컬럼 구분자로 쓴다’이다.
10	data/lessons/python_file_data_processing_v19.json	11	PY19_L09_safe_filename_001	파일명 정규화 함수 읽기	파일명이 너무 길어지는 것을 제한한다	따라서 반환/호출 결과는 ‘파일명이 너무 길어지는 것을 제한한다’이다.	YES	safe filename은 파일명에 위험한 문자나 너무 긴 문자열이 들어가는 문제를 줄이는 방식이다. 윈도우 경로 길이 문제도 함께 줄일 수 있다. 파일명 정규화는 다운로드 자료나 사용자 입력으로 파일을 만들 때 특히 필요한 방어 처리다.	safe filename은 파일명에 위험한 문자나 너무 긴 문자열이 들어가는 문제를 줄이는 방식이다. 윈도우 경로 길이 문제도 함께 줄일 수 있다. 파일명 정규화는 다운로드 자료나 사용자 입력으로 파일을 만들 때 특히 필요한 방어 처리다. 따라서 반환/호출 결과는 ‘파일명이 너무 길어지는 것을 제한한다’이다.
