file	index	id	title	answer	action	answer_explicit_now	final_status	reason	explanation
data/lessons/cards_seed_v1.json	2	L02_var_flow_001	변수에 들어간 값 따라가기	LiDAR	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	label에 저장된 'LiDAR' 값이 name으로 복사되므로 print(name)은 LiDAR를 출력한다. 이때 복사는 값을 새 이름으로 따라갈 수 있게 만드는 흐름이다. 이후 label이나 name이 다시 대입되는 줄이 있는지 확인해야 최종 출력을 정확히 알 수 있다. 변수 문제는 오른쪽 값을 먼저 계산하고 왼쪽 이름에 저장한다고 순서대로 추적하면 안정적이다.
data/lessons/python_advanced_expansion_v5.json	3	PY5_L09_decorator_wrapper_001	decorator wrapper 흐름 읽기	before	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	@log_call 때문에 run은 wrapper로 감싸지고 wrapper 안에서 before가 먼저 출력된다. decorator wrapper는 원래 함수를 감싸 실행 전후에 추가 동작을 넣는 함수다. 로그, 권한 확인, 실행 시간 측정 같은 공통 처리에 자주 쓰인다.
data/lessons/python_ai_learning_methods_v14.json	1	PY14_L07_learning_methods_compare_001	지도학습/비지도학습/자기지도학습/강화학습 한 번에 비교	지도학습	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	지도학습은 이미지 분류, 스팸 분류, 점수 예측처럼 정답 label이 있는 데이터로 학습한다. 지도학습, 비지도학습, 자기지도학습, 강화학습은 데이터와 피드백 방식이 다르다. 정답 라벨, 숨은 구조, 보상 신호 중 무엇을 쓰는지 구분해야 한다.
data/lessons/python_beginner_mixed_review_v96_a1.json	1	PYV96_A1_REVIEW_001_VAR_REASSIGN	변수 다시 대입 읽기	5	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	x는 처음 2였다가 x + 3으로 5가 된다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.
data/lessons/python_beginner_mixed_review_v96_a1.json	3	PYV96_A1_REVIEW_003_TYPE_NAME	자료형 이름 읽기	str	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	hello는 따옴표로 감싼 문자열이므로 type 이름은 str이다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.
data/lessons/python_beginner_mixed_review_v96_a1.json	4	PYV96_A1_REVIEW_004_INT_ADD	숫자 덧셈 읽기	6	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	a는 2, b는 4이므로 a + b는 6이다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.
data/lessons/python_beginner_mixed_review_v96_a1.json	12	PYV96_A1_REVIEW_012_DICT_UPDATE	딕셔너리 값 바꾸기	3	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	score key의 값이 1에서 3으로 바뀐다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.
data/lessons/python_beginner_mixed_review_v96_a1.json	13	PYV96_A1_REVIEW_013_IF_ELSE	if/else 한쪽 실행	retry	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	55 >= 60은 False라서 result는 retry가 된다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.
data/lessons/python_beginner_mixed_review_v96_a1.json	15	PYV96_A1_REVIEW_015_FOR_SUM	for로 합계 누적	6	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	0에 1, 2, 3이 차례로 더해져 6이 된다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.
data/lessons/python_beginner_mixed_review_v96_a1.json	18	PYV96_A1_REVIEW_018_RANGE_LOOP	range 반복 횟수 읽기	3	NO_ACTION	YES	OK_ALREADY_EXPLICIT	V318에서 조치 불필요였고 현재도 정답 표현 확인	0 + 1 + 2는 3이다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.
