rank	file	index	id	title	answer	final_sentence	changed	old_explanation	new_explanation
1	data/lessons/python_core_expansion_v1.json	7	PY_L03_slice_001	리스트 슬라이싱 읽기	"[""B"", ""C""]"	"따라서 출력은 ‘[""B"", ""C""]’이다."	YES	리스트 슬라이싱 [1:3]은 1번 인덱스부터 시작해서 3번 인덱스 바로 전까지 가져온다. 끝 인덱스 값 자체는 포함하지 않는다. 그래서 시작은 포함, 끝은 제외라는 규칙을 먼저 기억해야 한다. 슬라이싱은 원본 리스트 전체가 아니라 일부 구간을 새로 가져오는 문법이다. 시작, 끝, 간격을 차례로 확인하면 어떤 항목이 선택되는지 안정적으로 예측할 수 있다.	"리스트 슬라이싱 [1:3]은 1번 인덱스부터 시작해서 3번 인덱스 바로 전까지 가져온다. 끝 인덱스 값 자체는 포함하지 않는다. 그래서 시작은 포함, 끝은 제외라는 규칙을 먼저 기억해야 한다. 슬라이싱은 원본 리스트 전체가 아니라 일부 구간을 새로 가져오는 문법이다. 시작, 끝, 간격을 차례로 확인하면 어떤 항목이 선택되는지 안정적으로 예측할 수 있다. 따라서 출력은 ‘[""B"", ""C""]’이다."
2	data/lessons/python_core_expansion_v1.json	12	PY_L04_continue_001	continue로 이번 반복 건너뛰기	LiDAR, Radar	따라서 출력은 ‘LiDAR, Radar’이다.	YES	continue는 현재 반복의 남은 코드를 건너뛰고 다음 반복으로 넘어가게 한다. 빈 문자열처럼 처리하지 않을 항목을 만났을 때 유용하다. continue 아래에 있는 코드는 그 반복에서는 실행되지 않는다. 그래서 반복문 문제를 풀 때는 continue 조건을 먼저 확인하고, 건너뛴 항목이 결과 리스트나 누적값에 들어가지 않는다는 점을 따로 표시하면 이해하기 쉽다.	continue는 현재 반복의 남은 코드를 건너뛰고 다음 반복으로 넘어가게 한다. 빈 문자열처럼 처리하지 않을 항목을 만났을 때 유용하다. continue 아래에 있는 코드는 그 반복에서는 실행되지 않는다. 그래서 반복문 문제를 풀 때는 continue 조건을 먼저 확인하고, 건너뛴 항목이 결과 리스트나 누적값에 들어가지 않는다는 점을 따로 표시하면 이해하기 쉽다. 따라서 출력은 ‘LiDAR, Radar’이다.
3	data/lessons/python_core_expansion_v1.json	13	PY_L05_default_arg_001	기본 인자 읽기	hello user	따라서 출력은 ‘hello user’이다.	YES	함수 호출에서 name 값을 따로 넘기지 않으면 정의할 때 정해 둔 기본값 'user'가 사용된다. 기본 인자는 선택 입력을 만들 때 쓰인다. 기본값이 있으면 매번 같은 인자를 넘기지 않아도 되어 함수 호출을 더 간단하게 만들 수 있다.	함수 호출에서 name 값을 따로 넘기지 않으면 정의할 때 정해 둔 기본값 'user'가 사용된다. 기본 인자는 선택 입력을 만들 때 쓰인다. 기본값이 있으면 매번 같은 인자를 넘기지 않아도 되어 함수 호출을 더 간단하게 만들 수 있다. 따라서 출력은 ‘hello user’이다.
4	data/lessons/python_core_expansion_v1.json	20	PY_L07_argparse_001	argparse 옵션 읽기	명령어 옵션	따라서 출력은 ‘명령어 옵션’이다.	YES	argparse는 터미널에서 넘긴 옵션과 인자를 파싱한다. 예를 들어 --input data.json 같은 값을 코드 안에서 args.input으로 읽게 해 준다.	argparse는 터미널에서 넘긴 옵션과 인자를 파싱한다. 예를 들어 --input data.json 같은 값을 코드 안에서 args.input으로 읽게 해 준다. 따라서 출력은 ‘명령어 옵션’이다.
5	data/lessons/python_core_gaps_v99_a1.json	11	PYV99_A1_GAP_011_LIST_POP_LAST	pop으로 마지막 값 꺼내기	C\n['A', 'B']	따라서 출력은 차례대로 ‘C’, ‘['A', 'B']’이다. 보기 표현으로는 ‘C\n['A', 'B']’이 맞다.	YES	pop()은 리스트의 마지막 값을 꺼내 반환하고, 동시에 그 값을 리스트에서 제거한다. 이 예제에서는 마지막 값 C가 value에 저장되고 items에는 A와 B만 남는다. pop은 결과값과 원본 리스트 변화가 함께 생기는 메서드라서 출력 하나만 보면 헷갈릴 수 있다. 반환된 값, 변경된 리스트, 이후에 그 리스트를 다시 쓰는 줄을 따로 적어 보면 실수를 줄일 수 있다.	pop()은 리스트의 마지막 값을 꺼내 반환하고, 동시에 그 값을 리스트에서 제거한다. 이 예제에서는 마지막 값 C가 value에 저장되고 items에는 A와 B만 남는다. pop은 결과값과 원본 리스트 변화가 함께 생기는 메서드라서 출력 하나만 보면 헷갈릴 수 있다. 반환된 값, 변경된 리스트, 이후에 그 리스트를 다시 쓰는 줄을 따로 적어 보면 실수를 줄일 수 있다. 따라서 출력은 차례대로 ‘C’, ‘['A', 'B']’이다. 보기 표현으로는 ‘C\n['A', 'B']’이 맞다.
6	data/lessons/python_core_gaps_v99_a1.json	12	PYV99_A1_GAP_012_LIST_POP_INDEX	pop(0)으로 첫 값 꺼내기	A\n['B', 'C']	따라서 출력은 차례대로 ‘A’, ‘['B', 'C']’이다. 보기 표현으로는 ‘A\n['B', 'C']’이 맞다.	YES	pop(0)은 인덱스 0의 값을 꺼내 반환하고, 그 값을 리스트에서 제거한다. 이 예제에서는 첫 번째 값 A가 value에 저장되고, 리스트에는 나머지 값만 남는다. pop()처럼 인덱스를 생략하면 마지막 값을 꺼내지만, pop(0)처럼 인덱스를 주면 해당 위치의 값을 꺼낸다. 실행 뒤에는 뒤쪽 원소들의 위치도 앞으로 당겨진다는 점을 함께 봐야 한다.	pop(0)은 인덱스 0의 값을 꺼내 반환하고, 그 값을 리스트에서 제거한다. 이 예제에서는 첫 번째 값 A가 value에 저장되고, 리스트에는 나머지 값만 남는다. pop()처럼 인덱스를 생략하면 마지막 값을 꺼내지만, pop(0)처럼 인덱스를 주면 해당 위치의 값을 꺼낸다. 실행 뒤에는 뒤쪽 원소들의 위치도 앞으로 당겨진다는 점을 함께 봐야 한다. 따라서 출력은 차례대로 ‘A’, ‘['B', 'C']’이다. 보기 표현으로는 ‘A\n['B', 'C']’이 맞다.
7	data/lessons/python_csv_writer_dictreader_beginner_v120_a1.json	7	PY120_L06_FIELDNAMES_DEBUG_001	reader.fieldnames로 헤더 확인	실제 인식된 컬럼명을 확인하기 위해	따라서 출력은 ‘실제 인식된 컬럼명을 확인하기 위해’이다.	YES	fieldnames에는 DictReader가 읽은 헤더 이름들이 들어 있다. 컬럼명 오타나 공백 문제를 찾을 때 도움이 된다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다.	fieldnames에는 DictReader가 읽은 헤더 이름들이 들어 있다. 컬럼명 오타나 공백 문제를 찾을 때 도움이 된다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다. 따라서 출력은 ‘실제 인식된 컬럼명을 확인하기 위해’이다.
8	data/lessons/python_exception_traceback_beginner_v117_a1.json	4	PY117_L05_RAISE_BASIC_001	raise 기본 읽기	잘못된 입력이면 예외를 발생시킨다	따라서 반환/호출 결과는 ‘잘못된 입력이면 예외를 발생시킨다’이다.	YES	raise는 문제가 있는 상태를 직접 예외로 알리는 문법이다. 음수 나이처럼 허용하지 않을 값을 발견했을 때 흐름을 멈출 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다.	raise는 문제가 있는 상태를 직접 예외로 알리는 문법이다. 음수 나이처럼 허용하지 않을 값을 발견했을 때 흐름을 멈출 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다. 따라서 반환/호출 결과는 ‘잘못된 입력이면 예외를 발생시킨다’이다.
9	data/lessons/python_foundation_expansion_v10.json	12	PY10_L04_path_join_001	Path / 연산자 읽기	data 폴더 아래 items.json 경로	따라서 출력은 ‘data 폴더 아래 items.json 경로’이다.	YES	pathlib의 Path 객체는 / 연산자로 경로 조각을 자연스럽게 연결할 수 있다. 문자열 덧셈보다 운영체제 경로 처리에 안전하다. 윈도우와 리눅스의 경로 구분자가 달라도 Path가 알맞게 처리해 주므로 프로젝트 코드에서 자주 쓴다.	pathlib의 Path 객체는 / 연산자로 경로 조각을 자연스럽게 연결할 수 있다. 문자열 덧셈보다 운영체제 경로 처리에 안전하다. 윈도우와 리눅스의 경로 구분자가 달라도 Path가 알맞게 처리해 주므로 프로젝트 코드에서 자주 쓴다. 따라서 출력은 ‘data 폴더 아래 items.json 경로’이다.
10	data/lessons/python_foundation_expansion_v10.json	25	PY10_L07_slice_limit_001	slice limit 읽기	"[""a"", ""b"", ""c""]"	"따라서 출력은 ‘[""a"", ""b"", ""c""]’이다."	YES	슬라이싱은 리스트의 일부 구간만 가져오는 문법이다. items[:3]은 시작부터 인덱스 3 전까지, 즉 앞의 3개를 가져온다. 끝 인덱스는 포함되지 않으므로 [:3]이 네 번째 값까지 가져오는 것이 아니라는 점이 중요하다.	"슬라이싱은 리스트의 일부 구간만 가져오는 문법이다. items[:3]은 시작부터 인덱스 3 전까지, 즉 앞의 3개를 가져온다. 끝 인덱스는 포함되지 않으므로 [:3]이 네 번째 값까지 가져오는 것이 아니라는 점이 중요하다. 따라서 출력은 ‘[""a"", ""b"", ""c""]’이다."
