file	index	id	title	answer	covered_by	answer_explicit	status	issue	explanation
data/lessons/cards_seed_v1.json	10	L08_reverse_import_001	import 목록으로 기능 추론하기	파일 경로와 명령어 옵션을 받아 JSON 데이터를 처리하는 스크립트	explanation_medium_review_pack_v313.tsv	YES	OK		json은 JSON 처리, argparse는 CLI 옵션, pathlib은 경로 처리에 자주 쓰인다. import 목록을 보면 코드가 어떤 기능을 사용할지 거꾸로 추론할 수 있다. pathlib, json, re처럼 가져온 모듈이 이후 흐름의 힌트가 된다. 따라서 정답은 ‘파일 경로와 명령어 옵션을 받아 JSON 데이터를 처리하는 스크립트’이다.
data/lessons/cards_seed_v1.json	12	L10_risk_001	불안정한 코드 위험 찾기	doc_id가 없는 줄이면 에러가 난다	explanation_medium_review_pack_v311.tsv	YES	OK		row['doc_id']처럼 대괄호 접근을 쓰면 해당 key가 없는 데이터에서 KeyError가 날 수 있다. 불안정한 코드 위험은 당장 오류가 나지 않아도 나중에 실패할 수 있는 부분을 찾는 것이다. 입력값, 예외 처리, 파일 존재 여부를 함께 봐야 한다. 따라서 출력은 ‘doc_id가 없는 줄이면 에러가 난다’이다.
data/lessons/cards_seed_v1.json	6	L05_function_chain_001	함수 호출 결과 따라가기	lidar	explanation_medium_review_pack_v309.tsv	YES	OK		strip()이 문자열 양쪽 공백을 먼저 제거하고, lower()가 남은 문자열을 소문자로 바꾸므로 정리된 소문자 값이 출력된다. 체인 형태에서는 왼쪽 메서드의 결과가 오른쪽 메서드의 입력이 된다고 순서대로 따라가면 된다. 따라서 출력은 ‘lidar’이다.
data/lessons/cards_seed_v1.json	7	L06_json_loads_001	JSON 문자열을 dict로 바꾸기	LiDAR	explanation_medium_review_pack_v309.tsv	YES	OK		"json.loads()가 JSON 문자열을 dict로 바꾸고, row[""label""]로 값을 꺼낸다. JSON 문자열을 dict로 바꾸려면 json.loads를 사용한다. 문자열 형식이 올바른 JSON인지 확인하고, 파싱 실패 가능성도 함께 고려해야 한다. 따라서 출력은 ‘LiDAR’이다."
data/lessons/cards_seed_v1.json	9	L07_pipeline_001	load-filter-write 구조 읽기	nodes.jsonl에서 Sensor 노드만 골라 sensor_nodes.jsonl로 저장한다.	explanation_medium_review_pack_v313.tsv	YES	OK		main() 함수 안에서 load, filter, write가 순서대로 호출된다. 그래서 데이터 읽기, 거르기, 쓰기의 파이프라인 흐름이 만들어진다. 이런 구조는 입력, 처리, 출력 단계를 분리해 디버깅과 테스트를 쉽게 만든다. 따라서 정답은 ‘nodes.jsonl에서 Sensor 노드만 골라 sensor_nodes.jsonl로 저장한다.’이다.
data/lessons/python_accessibility_a11y_ui_v52.json	11	PY52_L09_tab_order_001	tab order 읽기	키보드 사용자가 예측 가능한 순서로 이동해야 하기 때문에	explanation_medium_review_pack_v315.tsv	YES	OK		tab order는 Tab 키를 눌렀을 때 포커스가 이동하는 순서다. 카드 선택지보다 다음 버튼이 먼저 잡히면 학습 흐름이 어색해질 수 있다. 키보드 사용자는 tab order만 따라 화면을 이동하므로 시각적 흐름과 포커스 순서가 맞아야 한다. 따라서 정답은 ‘키보드 사용자가 예측 가능한 순서로 이동해야 하기 때문에’이다.
data/lessons/python_accessibility_a11y_ui_v52.json	13	PY52_L09_error_message_accessibility_001	error message accessibility 읽기	입력창과 설명 또는 오류 메시지를 연결하기 위해	explanation_medium_review_pack_v315.tsv	YES	OK		진도 import 실패 같은 오류는 사용자가 원인을 알 수 있게 연결되어야 한다. 접근성 있는 오류 메시지는 사용자가 무엇이 잘못되었고 어떻게 고치면 되는지 알 수 있게 해야 한다. 화면 표시뿐 아니라 스크린리더가 읽을 수 있는지도 함께 고려해야 한다. 따라서 정답은 ‘입력창과 설명 또는 오류 메시지를 연결하기 위해’이다.
data/lessons/python_accessibility_a11y_ui_v52.json	14	PY52_L10_accessible_card_component_001	accessible card component 읽기	카드의 제목과 본문 구조를 보조기기도 이해할 수 있게 만드는 것	explanation_medium_review_pack_v315.tsv	YES	OK		accessible card component는 키보드, 보조기기, 명확한 상태 표시를 함께 고려한 카드 UI다. 카드가 많아질수록 구조가 명확해야 유지보수도 쉬워진다. 따라서 정답은 ‘카드의 제목과 본문 구조를 보조기기도 이해할 수 있게 만드는 것’이다.
data/lessons/python_accessibility_a11y_ui_v52.json	16	PY52_L10_a11y_as_product_quality_001	a11y as product quality 읽기	더 많은 사용자가 안정적으로 학습할 수 있게 하기 위해	explanation_medium_review_pack_v315.tsv	YES	OK		학습앱은 초보자, 모바일 사용자, 키보드 사용자, 보조기기 사용자 모두를 고려해야 한다. 접근성은 별도 부가 기능이 아니라 제품 품질의 일부다. 키보드 조작, 명확한 오류 안내, 읽기 쉬운 구조가 모든 사용자에게 도움이 된다. 따라서 정답은 ‘더 많은 사용자가 안정적으로 학습할 수 있게 하기 위해’이다.
data/lessons/python_accessibility_a11y_ui_v52.json	5	PY52_L07_screen_reader_text_001	screen reader text 읽기	시각적으로 부족한 정보를 보조기기 사용자에게 제공하기 위해	explanation_medium_review_pack_v315.tsv	YES	OK		screen reader text는 화면 낭독기가 읽을 수 있도록 제공하는 보조 텍스트다. 정답, 오답, 상태 변화 같은 정보는 색상만으로 전달하면 안 된다. 보조 텍스트를 넣으면 시각 정보에 의존하지 않고도 현재 상태를 이해할 수 있다. 따라서 정답은 ‘시각적으로 부족한 정보를 보조기기 사용자에게 제공하기 위해’이다.
data/lessons/python_accessibility_a11y_ui_v52.json	6	PY52_L08_color_contrast_001	color contrast 읽기	글자가 배경과 구분되지 않아 읽기 어려워진다	explanation_medium_review_pack_v315.tsv	YES	OK		color contrast는 글자와 배경의 밝기 차이가 충분한지 보는 기준이다. 학습카드는 긴 설명을 읽어야 하므로 대비와 가독성이 중요하다. 대비가 낮으면 시력이 좋은 사용자도 오래 읽을 때 피로해지고, 저시력 사용자에게는 접근성이 크게 떨어진다. 따라서 정답은 ‘글자가 배경과 구분되지 않아 읽기 어려워진다’이다.
data/lessons/python_accessibility_a11y_ui_v52.json	9	PY52_L08_form_label_001	form label 읽기	입력창의 목적을 사용자와 보조기기가 알 수 있게 하기 위해	explanation_medium_review_pack_v315.tsv	YES	OK		form label은 검색창, 필터, 난이도 선택 같은 입력 UI가 무엇을 뜻하는지 알려주는 이름이다. 명확한 label이 있어야 보조기기도 의미를 읽을 수 있다. 따라서 정답은 ‘입력창의 목적을 사용자와 보조기기가 알 수 있게 하기 위해’이다.
data/lessons/python_advanced_expansion_v5.json	1	PY5_L09_inheritance_001	상속과 메서드 재정의 읽기	bark	explanation_medium_review_pack_v313.tsv	YES	OK		상속은 부모 클래스의 기능을 자식 클래스가 물려받는 구조다. Dog 클래스가 speak를 다시 정의하면 Animal의 speak를 재정의한다. 자식 클래스는 필요한 동작만 바꾸고 공통 구조는 부모에서 물려받아 코드 중복을 줄일 수 있다. 따라서 출력은 ‘bark’이다.
data/lessons/python_advanced_expansion_v5.json	15	PY5_L08_numpy_axis_001	numpy axis 읽기	[5 7 9]	explanation_medium_review_pack_v314.tsv	YES	OK		numpy의 axis는 계산 방향을 뜻한다. axis=0은 같은 열 방향으로 값을 모아 계산하므로 열별 합계나 평균을 구할 때 쓰인다. axis=1은 행별 계산으로 바뀌므로 배열 모양과 축 번호를 함께 확인해야 결과를 예측할 수 있다. 따라서 출력은 ‘[5 7 9]’이다.
