rank	file	index	id	title	answer	final_sentence	changed	old_explanation	new_explanation
1	data/lessons/python_mutable_default_beginner_v115_a1.json	3	PY115_L04_APPEND_SIDE_EFFECT_001	append는 기존 리스트를 바꾼다	기존 리스트에 값을 추가한다	따라서 출력은 ‘기존 리스트에 값을 추가한다’이다.	YES	append는 기존 list 객체의 내용을 바꾼다. 그래서 같은 list를 여러 곳에서 쓰고 있으면 변경 결과가 이어져 보일 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다.	append는 기존 list 객체의 내용을 바꾼다. 그래서 같은 list를 여러 곳에서 쓰고 있으면 변경 결과가 이어져 보일 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다. 따라서 출력은 ‘기존 리스트에 값을 추가한다’이다.
2	data/lessons/python_mutable_default_beginner_v115_a1.json	6	PY115_L05_DICT_DEFAULT_RISK_001	dict 기본 인자도 조심	cache가 호출 사이에 공유될 수 있기 때문에	따라서 반환/호출 결과는 ‘cache가 호출 사이에 공유될 수 있기 때문에’이다.	YES	dict도 내용이 바뀌는 객체다. 기본값으로 둔 dict가 재사용되면 이전 호출에서 저장한 key/value가 다음 호출에도 남을 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다.	dict도 내용이 바뀌는 객체다. 기본값으로 둔 dict가 재사용되면 이전 호출에서 저장한 key/value가 다음 호출에도 남을 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다. 따라서 반환/호출 결과는 ‘cache가 호출 사이에 공유될 수 있기 때문에’이다.
3	data/lessons/python_oop_gap_beginner_v116_a1.json	6	PY116_L05_OVERRIDE_METHOD_001	override로 메서드 바꾸기	부모의 speak 이름을 다시 정의한다	따라서 반환/호출 결과는 ‘부모의 speak 이름을 다시 정의한다’이다.	YES	자식 class에서 부모와 같은 이름의 메서드를 다시 만들면 자식 쪽 동작이 우선된다. 이런 흐름을 override라고 읽을 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다.	자식 class에서 부모와 같은 이름의 메서드를 다시 만들면 자식 쪽 동작이 우선된다. 이런 흐름을 override라고 읽을 수 있다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다. 따라서 반환/호출 결과는 ‘부모의 speak 이름을 다시 정의한다’이다.
4	data/lessons/python_pandas_beginner_v122_a1.json	2	PY122_L04_HEAD_PREVIEW_001	df.head()로 앞부분 확인	데이터 앞부분을 빠르게 확인하기 위해	따라서 출력은 ‘데이터 앞부분을 빠르게 확인하기 위해’이다.	YES	df.head()는 DataFrame의 앞부분을 보여 준다. 파일을 읽은 직후 행과 열이 예상대로 들어왔는지 확인할 때 유용하다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다.	df.head()는 DataFrame의 앞부분을 보여 준다. 파일을 읽은 직후 행과 열이 예상대로 들어왔는지 확인할 때 유용하다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다. 따라서 출력은 ‘데이터 앞부분을 빠르게 확인하기 위해’이다.
5	data/lessons/python_broad_expansion_v3.json	2	PY3_L03_join_001	join()으로 문자열 합치기	구분자로 이어진 UAM | ADAS | Robotics	따라서 출력은 ‘구분자로 이어진 UAM | ADAS | Robotics’이다.	YES	join은 리스트 안의 문자열들을 하나의 문자열로 합칠 때 쓴다. 이때 join 앞에 있는 문자열이 각 항목 사이에 들어가는 구분자 역할을 한다. 예를 들어 ','.join(items)는 쉼표로 이어 붙이고, ''.join(items)는 구분자 없이 바로 붙인다. join은 숫자 리스트가 아니라 문자열 목록을 합치는 도구이므로, 항목이 모두 문자열인지도 함께 확인해야 한다.	join은 리스트 안의 문자열들을 하나의 문자열로 합칠 때 쓴다. 이때 join 앞에 있는 문자열이 각 항목 사이에 들어가는 구분자 역할을 한다. 예를 들어 ','.join(items)는 쉼표로 이어 붙이고, ''.join(items)는 구분자 없이 바로 붙인다. join은 숫자 리스트가 아니라 문자열 목록을 합치는 도구이므로, 항목이 모두 문자열인지도 함께 확인해야 한다. 따라서 출력은 ‘구분자로 이어진 UAM | ADAS | Robotics’이다.
6	data/lessons/python_broad_expansion_v3.json	3	PY3_L03_strip_001	strip()으로 공백 제거	양쪽 공백이 제거된 LiDAR	따라서 출력은 ‘양쪽 공백이 제거된 LiDAR’이다.	YES	strip()은 문자열 앞뒤의 공백과 줄바꿈을 제거한 새 문자열을 만든다. 사용자가 입력한 값이나 파일에서 읽은 텍스트를 정리할 때 자주 쓴다. 중요한 점은 중간 공백은 그대로 두고 양끝만 정리한다는 것이다. 원본 문자열을 직접 바꾸는 것이 아니라 정리된 결과를 반환하므로, 그 값을 변수에 저장하거나 다음 비교에 사용하는지 확인해야 한다.	strip()은 문자열 앞뒤의 공백과 줄바꿈을 제거한 새 문자열을 만든다. 사용자가 입력한 값이나 파일에서 읽은 텍스트를 정리할 때 자주 쓴다. 중요한 점은 중간 공백은 그대로 두고 양끝만 정리한다는 것이다. 원본 문자열을 직접 바꾸는 것이 아니라 정리된 결과를 반환하므로, 그 값을 변수에 저장하거나 다음 비교에 사용하는지 확인해야 한다. 따라서 출력은 ‘양쪽 공백이 제거된 LiDAR’이다.
7	data/lessons/python_broad_expansion_v3.json	5	PY3_L04_set_dedup_001	set으로 중복 제거하기	['LiDAR', 'Radar']만 남는다	따라서 출력은 ‘['LiDAR', 'Radar']만 남는다’이다.	YES	set은 이미 본 값을 빠르게 확인할 때 유용하다. 이 예제에서는 첫 번째 LiDAR를 seen에 넣고, 두 번째 LiDAR는 이미 들어 있으므로 중복으로 보고 건너뛴다. 중복 제거 코드는 보통 본 적 있는지 검사하고, 없으면 결과에 추가한 뒤 seen에도 기록한다. 값을 seen에 넣는 시점과 continue 또는 append가 실행되는 조건을 함께 추적해야 한다.	set은 이미 본 값을 빠르게 확인할 때 유용하다. 이 예제에서는 첫 번째 LiDAR를 seen에 넣고, 두 번째 LiDAR는 이미 들어 있으므로 중복으로 보고 건너뛴다. 중복 제거 코드는 보통 본 적 있는지 검사하고, 없으면 결과에 추가한 뒤 seen에도 기록한다. 값을 seen에 넣는 시점과 continue 또는 append가 실행되는 조건을 함께 추적해야 한다. 따라서 출력은 ‘['LiDAR', 'Radar']만 남는다’이다.
8	data/lessons/python_broad_expansion_v3.json	8	PY3_L06_read_text_001	Path.read_text() 읽기	README.md 내용을 읽고 길이를 출력한다	따라서 출력은 ‘README.md 내용을 읽고 길이를 출력한다’이다.	YES	read_text는 파일 전체 내용을 문자열로 읽는다. 작은 설정 파일이나 카드 JSON 조각을 확인할 때 간단히 사용할 수 있다. 파일이 크면 한 번에 모두 메모리에 올라오므로 로그나 대용량 데이터에서는 줄 단위 읽기와 비교해야 한다.	read_text는 파일 전체 내용을 문자열로 읽는다. 작은 설정 파일이나 카드 JSON 조각을 확인할 때 간단히 사용할 수 있다. 파일이 크면 한 번에 모두 메모리에 올라오므로 로그나 대용량 데이터에서는 줄 단위 읽기와 비교해야 한다. 따라서 출력은 ‘README.md 내용을 읽고 길이를 출력한다’이다.
9	data/lessons/python_broad_expansion_v3.json	16	PY3_L08_pandas_apply_001	pandas apply 읽기	"[""lidar"", ""radar""]"	"따라서 출력은 ‘[""lidar"", ""radar""]’이다."	YES	apply는 각 행이나 각 값에 함수를 적용한다. 이 코드에서는 label마다 strip과 lower를 적용해 정규화된 norm 컬럼을 만든다. apply는 편하지만 행마다 파이썬 함수를 호출하므로 큰 데이터에서는 속도도 함께 고려해야 한다.	"apply는 각 행이나 각 값에 함수를 적용한다. 이 코드에서는 label마다 strip과 lower를 적용해 정규화된 norm 컬럼을 만든다. apply는 편하지만 행마다 파이썬 함수를 호출하므로 큰 데이터에서는 속도도 함께 고려해야 한다. 따라서 출력은 ‘[""lidar"", ""radar""]’이다."
10	data/lessons/python_broad_expansion_v3.json	21	PY3_L09_fastapi_query_001	FastAPI query parameter 읽기	limit 기본값은 10이고 정수로 받는다	따라서 반환/호출 결과는 ‘limit 기본값은 10이고 정수로 받는다’이다.	YES	FastAPI는 함수 인자를 URL query parameter로 해석할 수 있다. 예를 들어 ?q=lidar처럼 들어온 값을 함수 인자로 받을 수 있다. 기본값이 있으면 limit을 생략해도 서버가 안정적으로 동작한다.	FastAPI는 함수 인자를 URL query parameter로 해석할 수 있다. 예를 들어 ?q=lidar처럼 들어온 값을 함수 인자로 받을 수 있다. 기본값이 있으면 limit을 생략해도 서버가 안정적으로 동작한다. 따라서 반환/호출 결과는 ‘limit 기본값은 10이고 정수로 받는다’이다.
